
File #,DateTime,Operator,Name,ID,Field1,Field2,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Cal Check
1,09-21-2016 18:51,Supervisor,OBSIDIAN,1,,,OBSIDIAN,OBSIDIAN, 39.0,NO RESULTS,100.0,,0.0,,0.0,Passed
2,09-21-2016 18:52,Supervisor,OBSIDIAN,1,,,OBSIDIAN,OBSIDIAN, 30.0,NO RESULTS,100.0,,0.0,,0.0,Passed
3,09-21-2016 19:04,Supervisor,OBSIDIAN,1,,,OBSIDIAN,OBSIDIAN, 27.0,NO RESULTS,100.0,,0.0,,0.0,Passed
4,09-21-2016 19:04,Supervisor,OBSIDIAN,1,,,MudrockTrace,MudrockTrace, 61.0,NO RESULTS,100.0,,0.0,,0.0,Passed
5,09-21-2016 19:18,Supervisor,OBSIDIAN,1,,,MudrockTrace,MudrockTrace, 18.0,NO RESULTS,100.0,,0.0,,0.0,Passed
6,09-21-2016 19:19,Supervisor,OBSIDIAN,1,,,OBSIDIAN,OBSIDIAN, 14.0,NO RESULTS,100.0,,0.0,,0.0,Passed


File #,DateTime,Operator,Name,ID,Field1,Field2,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Na,Na Err,Mg,Mg Err,Al,Al Err,Si,Si Err,P,P Err,S,S Err,K,K Err,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,Ba,Ba Err,Cal Check
7,09-21-2016 19:19,Supervisor,OBSIDIAN,1,,,MudrockMajor,MudrockMajor, 15.0,,0.0,,0.0,,0.0,  0.4511,  0.0367,< LOD,5648.2441,  6.5539,  0.1664, 35.1093,  0.2067,  0.0440,  0.0159,< LOD,  0.0083,  3.4307,  0.0292,  0.8003,  0.0085,  0.0801,  0.0016,  0.0129,  0.0020,  0.0033,  0.0014,  0.0832,  0.0025,  0.7739,  0.0046,  0.0003,  0.0000,  0.0079,  0.0003,  0.0060,  0.0019,  0.0187,  0.0019,< LOD,  0.0727,Passed
8,09-21-2016 19:20,Supervisor,OBSIDIAN,1,,,MudrockMajor,MudrockMajor,  7.0,,0.0,,0.0,,0.0,  0.4629,  0.0571,< LOD,3581.7959,  6.5747,  0.2456, 35.4008,  0.3048,  0.0552,  0.0247,  0.0150,  0.0126,  3.4102,  0.0428,  0.8002,  0.0126,  0.0797,  0.0024,  0.0131,  0.0029,  0.0043,  0.0021,  0.0833,  0.0036,  0.7694,  0.0068,  0.0003,  0.0001,  0.0076,  0.0004,  0.0062,  0.0027,  0.0185,  0.0027,< LOD,  0.1076,Passed


File #,DateTime,Operator,Name,ID,Field1,Field2,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Cal Check
9,09-21-2016 19:21,Supervisor,OBSIDIAN,1,,,Spectrometer Mode,, 13.0,,0.0,,0.0,,0.0,Passed
10,09-22-2016 07:17,Supervisor,OBSIDIAN,36,,,OBSIDIAN,OBSIDIAN, 30.0,NO RESULTS,100.0,,0.0,,0.0,Passed
11,09-22-2016 07:28,Supervisor,OBSIDIAN,36,,,OBSIDIAN,OBSIDIAN, 30.0,NO RESULTS,100.0,,0.0,,0.0,Passed
12,09-22-2016 08:23,Supervisor,OBSIDIAN,36,,,OBSIDIAN-2,OBSIDIAN-2,241.0,NO RESULTS,100.0,,0.0,,0.0,Passed
13,09-22-2016 09:46,Supervisor,OBSIDIAN,36,,,OBSIDIAN-2,OBSIDIAN-2,115.0,NO RESULTS,100.0,,0.0,,0.0,Passed
14,09-22-2016 09:48,Supervisor,OBSIDIAN,36,,,OBSIDIAN-2,OBSIDIAN-2, 10.0,NO RESULTS,100.0,,0.0,,0.0,Passed
15,09-22-2016 15:21,Supervisor,OBSIDIAN,36,,,OBSIDIAN,OBSIDIAN,  9.0,NO RESULTS,100.0,,0.0,,0.0,Passed
16,09-22-2016 15:24,Supervisor,OBSIDIAN,36,,,OBSIDIAN,OBSIDIAN, 10.0,NO RESULTS,100.0,,0.0,,0.0,Passed
17,09-22-2016 15:25,Supervisor,OBSIDIAN,36,,,OBSIDIAN,OBSIDIAN, 10.0,NO RESULTS,100.0,,0.0,,0.0,Passed
18,09-22-2016 15:26,Supervisor,OBSIDIAN,36,,,OBSIDIAN,OBSIDIAN, 10.0,NO RESULTS, 100.0,,0.0,,0.0,Passed
19,09-22-2016 15:27,Supervisor,OBSIDIAN,36,,,OBSIDIAN,OBSIDIAN, 10.0,NO RESULTS,,,0.0,,0.0,Passed
20,09-22-2016 16:01,Supervisor,OBSIDIAN,36,,,OBSIDIAN-2,OBSIDIAN-2, 15.0,NO RESULTS,100.0,,0.0,,0.0,Passed
21,09-22-2016 16:01,Supervisor,OBSIDIAN,36,,,OBSIDIAN-2,OBSIDIAN-2,  8.0,NO RESULTS,100.0,,0.0,,0.0,Passed
22,09-22-2016 16:03,Supervisor,OBSIDIAN,36,,,OBSIDIAN,OBSIDIAN, 10.0,NO RESULTS,100.0,,0.0,,0.0,Passed
23,09-22-2016 18:02,SERVICE,OBSIDIAN,36,,,OBSIDIAN,OBSIDIAN, 10.0,NO RESULTS,100.0,,0.0,,0.0,Passed
24,09-22-2016 18:02,SERVICE,OBSIDIAN,36,,,OBSIDIAN,OBSIDIAN, 10.0,NO RESULTS,100.0,,0.0,,0.0,Passed
25,09-22-2016 18:04,SERVICE,OBSIDIAN,36,,,OBSIDIAN,OBSIDIAN, 10.0,NO RESULTS,100.0,,0.0,,0.0,Passed
26,09-22-2016 18:04,SERVICE,OBSIDIAN,36,,,OBSIDIAN,OBSIDIAN,  7.0,NO RESULTS,100.0,,0.0,,0.0,Passed
27,09-22-2016 18:07,SERVICE,OBSIDIAN,36,,,OBSIDIAN,OBSIDIAN, 10.0,NO RESULTS,100.0,,0.0,,0.0,Passed
28,09-22-2016 18:08,SERVICE,OBSIDIAN,36,,,OBSIDIAN,OBSIDIAN, 10.0,NO RESULTS,100.0,,0.0,,0.0,Passed
29,09-22-2016 18:09,SERVICE,OBSIDIAN,36,,,OBSIDIAN,OBSIDIAN, 10.0,NO RESULTS,,,0.0,,0.0,Passed
30,09-22-2016 18:10,SERVICE,OBSIDIAN,36,,,OBSIDIAN,OBSIDIAN, 10.0,NO RESULTS,100.0,,0.0,,0.0,Passed
31,09-22-2016 18:10,SERVICE,OBSIDIAN,36,,,OBSIDIAN,OBSIDIAN, 10.0,NO RESULTS,100.0,,0.0,,0.0,Passed
32,09-22-2016 18:12,SERVICE,OBSIDIAN,36,,,OBSIDIAN,OBSIDIAN, 10.0,NO RESULTS,100.0,,0.0,,0.0,Passed


File #,DateTime,Operator,Name,ID,Field1,Field2,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Mn,Mn Err,Fe,Fe Err,Zn,Zn Err,Ga,Ga Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Th,Th Err,RbSrY,RbSrY Err,RbSrYZr,RbSrYZr Err,Cal Check
33,09-23-2016 10:48,Supervisor,OBSIDIAN,36,,,OBSIDIAN,OBSIDIAN,  7.0,,0.0,,0.0,,0.0,  0.0286,  0.0118,  0.9581,  0.0347,  0.0031,  0.0023,  0.0017,  0.0003,  0.0139,  0.0013,  0.0069,  0.0007,  0.0025,  0.0005,  0.0184,  0.0009,< LOD,  0.0006,  0.0020,  0.0008,  0.0233,  0.0000,  0.0417,  0.0000,Passed
34,09-23-2016 10:48,Supervisor,OBSIDIAN,36,,,OBSIDIAN,OBSIDIAN,  4.0,,0.0,,0.0,,0.0,  0.0243,  0.0144,  0.9334,  0.0451,< LOD,  0.0029,  0.0021,  0.0005,  0.0148,  0.0018,  0.0064,  0.0009,  0.0034,  0.0007,  0.0174,  0.0011,< LOD,  0.0008,< LOD,  0.0008,  0.0246,  0.0000,  0.0420,  0.0000,Passed


File #,DateTime,Operator,Name,ID,Field1,Field2,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Cal Check
35,09-24-2016 11:59,Supervisor,OBSIDIAN,36,,,Spectrum Only,, 36.0,,0.0,,0.0,,0.0,Passed


File #,DateTime,Operator,Name,ID,Field1,Field2,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Na,Na Err,Mg,Mg Err,Al,Al Err,Si,Si Err,P,P Err,S,S Err,K,K Err,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,Ba,Ba Err,Cal Check
36,09-24-2016 12:15,Supervisor,OBSIDIAN,36,,,MudrockMajor,MudrockMajor,  5.0,,0.0,,0.0,,0.0,  0.6455,  0.1312,< LOD,2403.2610, 13.6875,  0.4144, 31.4330,  0.3477,< LOD,  0.0270,< LOD,  0.0142, 10.8225,  0.0862,  1.0427,  0.0134,  0.0591,  0.0023,  0.0132,  0.0033,< LOD,  0.0024,  0.0174,  0.0031,  0.3744,  0.0036,  0.0001,  0.0001,  0.0081,  0.0004,  0.0067,  0.0032,  0.0189,  0.0032,< LOD,  0.1059,Passed


File #,DateTime,Operator,Name,ID,Field1,Field2,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Cal Check
37,09-24-2016 12:16,Supervisor,OBSIDIAN,36,,,MudrockTrace,MudrockTrace, 10.0,NO RESULTS,100.0,,0.0,,0.0,Passed


File #,DateTime,Operator,Name,ID,Field1,Field2,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Mn,Mn Err,Fe,Fe Err,Zn,Zn Err,Ga,Ga Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Th,Th Err,RbSrY,RbSrY Err,RbSrYZr,RbSrYZr Err,Cal Check
